,academyId,score,teacher,management,facility,kind,level,total_score
0,1.0,16.333333333333332,12.0,8.083333333333334,4.125,3.75,3.9166666666666665,48.20833333333333
1,2.0,13.6,12.299999999999999,8.3,4.45,4.0,4.625,47.275000000000006
2,3.0,15.6,11.25,7.5,4.1,4.0,4.333333333333333,46.78333333333334
3,4.0,17.263157894736842,12.0,8.31578947368421,3.789473684210526,4.142857142857143,4.285714285714286,49.79699248120301
4,5.0,15.84,11.52,7.92,4.08,4.166666666666667,4.166666666666667,47.69333333333333
5,6.0,16.96,11.28,7.76,4.36,3.857142857142857,4.142857142857143,48.36
6,7.0,15.5,12.375,8.125,3.6875,4.071428571428571,4.0,47.75892857142857
7,8.0,16.0,12.857142857142858,7.904761904761905,3.9523809523809526,4.090909090909091,4.363636363636363,49.16883116883116
8,9.0,14.857142857142858,12.0,7.714285714285714,4.190476190476191,3.8,4.8,47.36190476190475
9,10.0,15.625,11.8125,8.375,4.0,3.875,4.125,47.8125
10,11.0,16.0,12.818181818181817,7.363636363636363,4.318181818181818,3.8181818181818183,3.5454545454545454,47.86363636363637
11,12.0,14.461538461538462,11.769230769230768,7.076923076923077,4.0,4.25,4.0,45.55769230769231
12,13.0,16.266666666666666,12.0,8.4,3.7333333333333334,3.5,4.5,48.4
13,14.0,15.25,12.1875,7.875,3.8125,4.083333333333333,3.9166666666666665,47.125
14,15.0,17.0,11.8125,8.0,3.625,3.7,4.0,48.1375
15,16.0,15.0,12.0,7.5,3.65,4.230769230769231,3.769230769230769,46.15
16,17.0,15.272727272727273,11.727272727272727,8.181818181818182,3.772727272727273,4.0,4.0,46.95454545454545
17,18.0,16.42105263157895,12.0,7.578947368421052,4.315789473684211,3.923076923076923,3.8461538461538463,48.08502024291498
18,19.0,16.5,11.8125,8.0,3.625,3.9285714285714284,3.9285714285714284,47.79464285714286
19,20.0,14.518518518518519,12.222222222222223,8.444444444444445,4.148148148148148,3.7142857142857144,4.0,47.047619047619044
20,21.0,15.555555555555555,12.0,7.62962962962963,4.111111111111111,3.933333333333333,4.466666666666667,47.6962962962963
21,22.0,16.833333333333332,11.875,8.833333333333334,4.083333333333333,4.2,3.7,49.525000000000006
22,23.0,15.25,12.375,8.25,4.25,3.8333333333333335,4.0,47.958333333333336
23,24.0,15.466666666666667,12.0,8.0,4.333333333333333,3.8,3.6,47.2
24,25.0,15.5,11.25,7.5,3.5625,4.111111111111111,3.3333333333333335,45.25694444444445
25,26.0,16.88888888888889,12.833333333333332,8.0,4.388888888888889,4.384615384615385,4.0,50.4957264957265
26,27.0,16.0,12.600000000000001,7.68,4.24,3.5555555555555554,3.888888888888889,47.964444444444446
27,28.0,16.363636363636363,12.545454545454545,7.818181818181818,4.045454545454546,4.0,4.181818181818182,48.95454545454545
28,29.0,15.826086956521738,11.73913043478261,8.347826086956522,4.086956521739131,3.5,3.75,47.25
29,30.0,14.8,13.200000000000001,7.3,4.1,4.0,3.7777777777777777,47.17777777777778
